date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:24	103229/103229	---MCZ	200	added ('OK')	text/html	etag:W/%2261eaa912-1933d%22	https://layerdrops.com/agriox/index-2.html	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/index-2.html	(from )
20:01:25	50/50	---MCZ	200	added ('OK')	text/plain	date:Sun,%2027%20Feb%202022%2014:31:36%20GMT	https://layerdrops.com/robots.txt		(from )
20:01:25	15210/15210	---M--	200	added ('OK')	image/png	etag:%22611139ba-3b6a%22	https://layerdrops.com/agriox/assets/images/favicons/apple-touch-icon.png	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/images/favicons/apple-touch-icon.png	(from https://layerdrops.com/agriox/index-2.html)
20:01:26	1262/1262	---M--	200	added ('OK')	image/png	etag:%22611139ba-4ee%22	https://layerdrops.com/agriox/assets/images/favicons/favicon-32x32.png	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/images/favicons/favicon-32x32.png	(from https://layerdrops.com/agriox/index-2.html)
20:01:26	604/604	---M--	200	added ('OK')	image/png	etag:%22611139ba-25c%22	https://layerdrops.com/agriox/assets/images/favicons/favicon-16x16.png	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/images/favicons/favicon-16x16.png	(from https://layerdrops.com/agriox/index-2.html)
20:01:26	263/263	---M--	200	added ('OK')	application/manifest+json	date:Mon,%2009%20Aug%202021%2014:20:42%20GMT	https://layerdrops.com/agriox/assets/images/favicons/site.webmanifest	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/images/favicons/site.webmanifest	(from https://layerdrops.com/agriox/index-2.html)
20:01:26	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%22605a3154-25cfb%22	https://layerdrops.com/agriox/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://layerdrops.com/agriox/index-2.html)
20:01:26	87493/87493	---MCZ	200	added ('OK')	text/css	etag:W/%22600346f8-155c5%22	https://layerdrops.com/agriox/assets/vendors/animate/animate.min.css	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/vendors/animate/animate.min.css	(from https://layerdrops.com/agriox/index-2.html)
20:01:27	28846/28846	---MCZ	200	added ('OK')	text/css	etag:W/%226106c6a0-70ae%22	https://layerdrops.com/agriox/assets/vendors/animate/custom-animate.css	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/vendors/animate/custom-animate.css	(from https://layerdrops.com/agriox/index-2.html)
20:01:27	59348/59348	---MCZ	200	added ('OK')	text/css	etag:W/%22600346f8-e7d4%22	https://layerdrops.com/agriox/assets/vendors/fontawesome/css/all.min.css	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/vendors/fontawesome/css/all.min.css	(from https://layerdrops.com/agriox/index-2.html)
20:01:27	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%22600346f8-14f%22	https://layerdrops.com/agriox/assets/vendors/jarallax/jarallax.css	C:/Users/salah/Documents/gpfwebsitefarming/layerdrops.com/agriox/assets/vendors/jarallax/jarallax.css	(from https://layerdrops.com/agriox/index-2.html)
